"Company","Industry","Asset Type","Fair Value ($ in Millions)"
"3ES Innovation Inc. (dba Aucerna)","Internet software and services","1st Lien","62.2"
"AAM Series 1.1 Rail and Domestic Intermodal Feeder, LLC","Asset based lending and fund finance","Common Equity","4.0"
"AAM Series 2.1 Aviation Feeder, LLC","Asset based lending and fund finance","Common Equity","2.2"
"ABB/Con-cise Optical Group LLC","Distribution","1st Lien","72.5"
"Accela, Inc.","Internet software and services","1st Lien","27.8"
"Accelerate Topco Holdings, LLC","Insurance","Common Equity","0.0"
"Access CIG, LLC","Business services","2nd Lien","58.6"
"Adenza Group, Inc.","Financial services","1st Lien","198.0"
"Alera Group, Inc.","Insurance","1st Lien","34.6"
"AmeriLife Holdings LLC","Insurance","1st Lien","0.8"
"AmSpec Group, Inc. (fka AmSpec Services Inc.)","Professional services","1st Lien","110.3"
"Anaplan, Inc.","Internet software and services","1st Lien","135.1"
"Apex Group Treasury LLC","Professional services","2nd Lien","42.8"
"Apex Service Partners Intermediate 2, LLC","Professional services","1st Lien","51.1"
"Apex Service Partners, LLC","Professional services","1st Lien","1.0"
"Apptio, Inc.","Internet software and services","1st Lien","53.4"
"Aptive Environmental, LLC","Household products","1st Lien","11.5"
"Aramsco, Inc.","Distribution","1st Lien","60.0"
"Ardonagh Midco 2 PLC","Insurance","Unsecured","10.9"
"Ardonagh Midco 3 PLC","Insurance","1st Lien","153.7"
"Armstrong Bidco Limited (dba The Access Group)","Internet software and services","1st Lien","3.4"
"Aruba Investments Holdings LLC (dba Angus Chemical Company)","Chemicals","2nd Lien","9.9"
"Ascend Buyer, LLC (dba PPC Flexible Packaging)","Containers and packaging","1st Lien","5.5"
"ASP Conair Holdings LP","Consumer products","Common Equity","5.4"
"Associations Finance, Inc.","Buildings and real estate","Preferred Equity","57.9"
"Associations, Inc.","Buildings and real estate","1st Lien","402.0"
"Aviation Solutions Midco, LLC (dba STS Aviation)","Aerospace and defense","1st Lien","206.9"
"Balrog Acquisition, Inc. (dba Bakemark)","Food and beverage","2nd Lien","21.8"
